index,Article Title,Date,Authors,Journal,Study Type,Keywords,DOI,Abstract,Topic of interest,Score,Match
0,A data-centric artificial intelligent and extended reality technology in smart healthcare systems.,2022,"Shaikh TA, Dar TR, Sofi S",Social network analysis and mining,"Journal Article, Review","Extended reality, Healthcare informatics, Pattern recognition, Smart health care",https://doi.org/10.1007/s13278-022-00888-7,"Extended reality (XR) solutions are quietly maturing, and their novel use cases are already being investigated, particularly in the healthcare industry. By 2022, the extended reality market is anticipated to be worth $209 billion. Certain diseases, such as Alzheimer's, Schizophrenia, Stroke rehabilitation stimulating specific areas of the patient's brain, healing brain injuries, surgeon training,  realistic 3D visualization, touch-free interfaces, and teaching social skills to  children with autism, have shown promising results with XR-assisted treatments. Similar effects have been used in video game therapies like Akili Interactive's EndeavorRx, which has previously been approved by the Food and Drug Administration (FDA) as a treatment regimen for children with attention deficit hyperactivity disorder (ADHD). However, while these improvements have received positive feedback, the field of XR-assisted patient treatment is in its infancy.  The growth of XR in the healthcare sphere has the potential to transform the delivery of medical services. Imagine an elderly patient in a remote setting having a consultation with a world-renowned expert without ever having to leave their house. Rather than operating on cadavers in a medical facility, a surgical  resident does surgery in a virtual setting at home. On the first try, a nurse uses a vein finder to implant an IV. Through cognitive treatment in a virtual world, a war veteran recovers from post-traumatic stress disorder (PTSD). The paper discusses the potential impact of XR in transforming the healthcare industry, as well as its use cases, challenges, XR tools and techniques for intelligent health care, recent developments of XR in intelligent healthcare services, and the potential benefits and future aspects of XR techniques in the medical domain.",treatment,0.05843439911797133,0
1,"The effect of neurofeedback training combined with computer cognitive games on the time perception, attention, and working memory in children with ADHD.",2022 Aug 24,"Moradi N, Rajabi S, Mansouri Nejad A",Applied neuropsychology. Child,Journal Article,"ADHD, SmartMind, computer cognitive games, neurofeedback, time perception",https://doi.org/10.1080/21622965.2022.2112679,"OBJECTIVE: The purpose of this study was to examine the effect of neurofeedback (NF) based on quantitative electroencephalography (QEEG) and SmartMind game on the time perception, attention, and working memory of children with Attention Deficit/Hyperactivity Disorder (ADHD) through an experimental design. METHOD: Using a purposive sampling method, 32 male students diagnosed with ADHD were selected and then randomly assigned to an experimental group and a control group. The experimental group received the treatment (NF + SmartMind) for 30 weekly sessions. Children's performances on a time perception test, a Continuous Performance Test (CPT), and a Wechsler working memory test (WISC) were examined before and after the intervention. RESULTS: A significant difference was observed between the mean scores of the pretest and post-test for the experimental group,  implying that NF training improved short-time perception and long-time perception attention in CPT test: omission error component, Correct Response component, and  working memory: Visual forward component. However, the treatment did not have a significant effect on the commission error component (CPT), working memory in terms of the visual reverse, auditory reverse, and auditory forward components. CONCLUSION: NF combined with computer cognitive games (CCGs) can improve time perception, attention, and working memory in children with ADHD.",treatment,0.44762954796030874,1
2,Effect of game-based high-intensity interval training program on the executive function of children with ADHD: Protocol of a randomized controlled trial.,2022,"Sun F, Chow GC, Yu CC, Ho YF, Liu D, Wong SH, Siu PM, Cooper SB, Jenkins D",PloS one,"Clinical Trial Protocol, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0272121,"BACKGROUND: Attention-deficit/hyperactivity disorder (ADHD) is a common developmental disorder in childhood, with a 5%-6% worldwide prevalence. Children  with ADHD often demonstrate impaired executive function, which is closely related to the development of the commonly observed behavioral problems such as inattention, impaired inhibition, and hyperactivity. The purpose of this study is to examine whether a game-based high-intensity interval training (HIIT) program can improve the executive function of children with ADHD, compared with a traditional structured aerobic exercise program and a non-treatment control group. METHODS/DESIGN: A total of 42 children with ADHD will be recruited to participate in this three-arm school-based randomized controlled trial. An 8-week specially designed game-based HIIT (GameHIIT) program and a traditional game-based structured aerobic exercise (GameSAE) program will be delivered to those children randomly assigned to these two intervention groups, while the children in the control group will maintain their regular physical activity over  the same period. A number of outcome measures including executive function, cerebral hemodynamic response, physical activity, physical fitness, and enjoyment and adherence to the intervention will be assessed for both groups at baseline (T0), immediately after the intervention period (T1), and after the follow-up period (T2). DISCUSSION: HIIT has recently emerged as a feasible and efficacious  strategy for increasing physical health outcomes and cognitive function, including executive function, in healthy young people. However, research has yet  to investigate whether the executive function of children with ADHD can be effectively enhanced through HIIT. If, as hypothesized, GameHIIT program improves outcomes for children with ADHD, the present research will inform the development of targeted exercise programs that can be more broadly used with this particular  population.",treatment,0.340683572216097,1
3,Attention Deficit Hyperactivity Disorder Assessment Based on Patient Behavior Exhibited in a Car Video Game: A Pilot Study.,2022 Jul 1,"Sujar A, Bayona S, Delgado-Gomez D, Miguelez-Fernandez C, Ardoy-Cuadros J, Penuelas-Calvo I, Baca-Garcia E, Blasco-Fontecilla H",Brain sciences,Journal Article,"ADHD, attention deficits, attention span, behavioral patterns, e-health, hyperactivity, inattention, neurodevelopmental disorders, video games",https://doi.org/10.3390/brainsci12070877,"Symptoms of Attention Deficit Hyperactivity Disorder (ADHD) include excessive activity, difficulty sustaining attention, and inability to act in a reflective manner. Early diagnosis and treatment of ADHD is key but may be influenced by the observation and communication skills of caregivers, and the experience of the medical professional. Attempts to obtain additional measures to support the medical diagnosis, such as reaction time when performing a task, can be found in  the literature. We propose an information recording system that allows to study in detail the behavior shown by children already diagnosed with ADHD during a car driving video game. We continuously record the participants' activity throughout  the task and calculate the error committed. Studying the trajectory graphs, some  children showed uniform patterns, others lost attention from one point onwards, and others alternated attention/inattention intervals. Results show a dependence  between the age of the children and their performance. Moreover, by analyzing the positions by age over time using clustering, we show that it is possible to classify children according to their performance. Future studies will examine whether this detailed information about each child's performance pattern can be used to fine-tune treatment.",treatment,0.7199558985667034,1
4,Serious Video Games: Angels or Demons in Patients With Attention-Deficit Hyperactivity Disorder? A Quasi-Systematic Review.,2022,"Rodrigo-Yanguas M, Gonzalez-Tardon C, Bella-Fernandez M, Blasco-Fontecilla H",Frontiers in psychiatry,Systematic Review,"ADHD, addiction, cognitive rehabilitation, revision, videogames",https://doi.org/10.3389/fpsyt.2022.798480,"Objective: To carry out a quasi-systematic review of the use of serious video games for health as a cognitive rehabilitative tool in patients diagnosed with attention-deficit hyperactivity disorder. Method: A quasi-systematic review of serious video games used as an evaluative and rehabilitative tool in patients with ADHD was conducted. It included behavioral patterns in the use of video games and addiction problems in this population. For its elaboration the PRISMA GUIDES were followed. The search was carried out in three PubMed databases, MEDLINE, and PsycInfo using the keywords: [game OR serious game OR computer game) AND (psychotherapy OR rehabilitation OR intervention OR mental disorders) AND (adhd)], [(adhd) AND (Video game addiction)]. All articles written in English, Spanish, or Portuguese from January 1970 to June 2021 were included: those in which reference was made to the use of video games and/or new technologies as a therapeutic and evaluative tool in children and adults diagnosed with ADHD, as well as those that referred to behavioral and clinical patterns in the use of video games. Results: We found 605 articles of which 128 were reviewed (44 observational studies, 26 quasi-experimental studies, 26 experimental studies, 8  systematic reviews, 9 narrative texts, 6 case reports, 7 pilot studies, 8 systematic reviews, and 2 meta-analyses). Serious video games can be used to ameliorate ADHD symptoms while improving adherence to treatment. Some serious video games show high accuracy properties assessing ADHD features. Conclusion: Serious video games for health are increasingly being used as a cognitive rehabilitation tool in patients with attention-deficit hyperactivity disorder (ADHD). Systematic Review Registration: [www.crd.york.ac.uk/prospero], identifier [CRD42021247784].",treatment,0.7012127894156559,1
5,Automated detection of ADHD: Current trends and future perspective.,2022 Jul,"Loh HW, Ooi CP, Barua PD, Palmer EE, Molinari F, Acharya UR",Computers in biology and medicine,"Journal Article, Review","*Accelerometer, *Actigraphy, *Artificial intelligence, *Attention deficit hyperactivity disorder (ADHD), *CPT, *Deep learning, *ECG, *EEG, *Genetic, *HRV, *MRI, *Machine learning, *PRISMA, *Pupillometric, *Questionnaires, *RST, *Social media",https://doi.org/10.1016/j.compbiomed.2022.105525,"Attention deficit hyperactivity disorder (ADHD) is a heterogenous disorder that has a detrimental impact on the neurodevelopment of the brain. ADHD patients exhibit combinations of inattention, impulsiveness, and hyperactivity. With early treatment and diagnosis, there is potential to modify neuronal connections and improve symptoms. However, the heterogeneous nature of ADHD, combined with its comorbidities and a global shortage of diagnostic clinicians, means diagnosis of  ADHD is often delayed. Hence, it is important to consider other pathways to improve the efficiency of early diagnosis, including the role of artificial intelligence. In this study, we reviewed the current literature on machine learning and deep learning studies on ADHD diagnosis and identified the various diagnostic tools used. Subsequently, we categorized these studies according to their diagnostic tool as brain magnetic resonance imaging (MRI), physiological signals, questionnaires, game simulator and performance test, and motion data. We identified research gaps include the paucity of publicly available database for all modalities in ADHD assessment other than MRI, as well as a lack of focus on using data from wearable devices for ADHD diagnosis, such as ECG, PPG, and motion data. We hope that this review will inspire future work to create more publicly available datasets and conduct research for other modes of ADHD diagnosis and monitoring. Ultimately, we hope that artificial intelligence can be extended to multiple ADHD diagnostic tools, allowing for the development of a powerful clinical decision support pathway that can be used both in and out of the hospital.",treatment,0.49944873208379276,1
6,Enhancing neural markers of attention in children with ADHD using a digital therapeutic.,2021,"Gallen CL, Anguera JA, Gerdes MR, Simon AJ, Canadas E, Marco EJ",PloS one,"Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0261981,"Attention deficit hyperactivity disorder (ADHD) is a prevalent neurodevelopmental condition characterized by diminished attentional control. Critically, these difficulties are related to negative consequences in real-life functioning both during development and into adulthood. There is now growing evidence that modulating the underlying neural circuits related to attention can improve behavior and brain function in children with ADHD. We have previously shown that  game-based digital therapeutics targeting a key neural marker of attention-midline frontal theta (MFT)-yield positive effects on attentional control in several populations. However, the effects of such digital therapeutics in children with ADHD and no other comorbidities has not been yet examined. To address this gap, we assessed a sample of 25 children with ADHD (8-12 years old)  on neural, behavioral, and clinical metrics of attention before and after a 4-week at-home intervention on an iPad targeting MFT circuitry. We found that children showed enhancements on a neural measure of attention (MFT power), as well as on objective behavioral measures of attention and parent reports of clinical ADHD symptoms. Importantly, we observed relationships between the neural and behavioral cognitive improvements, demonstrating that those children who showed the largest intervention-related neural gains were also those that improved the most on the behavioral tasks indexing attention. These findings provide support for using targeted, digital therapeutics to enhance multiple features of attentional control in children with ADHD. Study registration: ClinicalTrials.gov registry (NCT03844269) https://clinicaltrials.gov/ct2/show/NCT03844269.",treatment,0.33406835722160966,1
7,Screen Use and Mental Health Symptoms in Canadian Children and Youth During the COVID-19 Pandemic.,2021 Dec 1,"Li X, Vanderloo LM, Keown-Stoneman CDG, Cost KT, Charach A, Maguire JL, Monga S, Crosbie J, Burton C, Anagnostou E, Georgiades S, Nicolson R, Kelley E, Ayub M, Korczak DJ, Birken CS",JAMA network open,"Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1001/jamanetworkopen.2021.40875,"Importance: Longitudinal research on specific forms of electronic screen use and  mental health symptoms in children and youth during COVID-19 is minimal. Understanding the association may help develop policies and interventions targeting specific screen activities to promote healthful screen use and mental health in children and youth. Objective: To determine whether specific forms of screen use (television [TV] or digital media, video games, electronic learning, and video-chatting time) were associated with symptoms of depression, anxiety, conduct problems, irritability, hyperactivity, and inattention in children and youth during COVID-19. Design, Setting, and Participants: A longitudinal cohort study with repeated measures of exposures and outcomes was conducted in children  and youth aged 2 to 18 years in Ontario, Canada, between May 2020 and April 2021  across 4 cohorts of children or youth: 2 community cohorts and 2 clinically referred cohorts. Parents were asked to complete repeated questionnaires about their children's health behaviors and mental health symptoms during COVID-19. Main Outcomes and Measures: The exposure variables were children's daily TV or digital media time, video game time, electronic-learning time, and video-chatting time. The mental health outcomes were parent-reported symptoms of child depression, anxiety, conduct problems and irritability, and hyperactivity/inattention using validated standardized tools. Results: This study included 2026 children with 6648 observations. In younger children (mean [SD] age, 5.9 [2.5] years; 275 male participants [51.7%]), higher TV or digital media  time was associated with higher levels of conduct problems (age 2-4 years: beta,  0.22 [95% CI, 0.10-0.35]; P < .001; age >/=4 years: beta, 0.07 [95% CI, 0.02-0.11]; P = .007) and hyperactivity/inattention (beta, 0.07 [95% CI, 0.006-0.14]; P = .04). In older children and youth (mean [SD] age, 11.3 [3.3] years; 844 male participants [56.5%]), higher levels of TV or digital media time  were associated with higher levels of depression, anxiety, and inattention; higher levels of video game time were associated with higher levels of depression, irritability, inattention, and hyperactivity. Higher levels of electronic learning time were associated with higher levels of depression and anxiety. Conclusions and Relevance: In this cohort study, higher levels of screen use were associated poor mental health of children and youth during the COVID-19  pandemic. These findings suggest that policy intervention as well as evidence-informed social supports are needed to promote healthful screen use and  mental health in children and youth during the pandemic and beyond.",treatment,0.00992282249173098,0
8,Long-term effectiveness of behavioural intervention in preschool children with attention deficit hyperactivity disorder in Southeast China - a randomized controlled trial.,2021 Dec 10,"Huang XX, Ou P, Qian QF, Huang Y",BMC pediatrics,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","*Attention deficit hyperactivity disorder, *Behavioural intervention, *Effectiveness, *Mixed-effects linear model analyses, *Randomized controlled trial",https://doi.org/10.1186/s12887-021-03046-8,"BACKGROUND: Attention-deficit hyperactivity disorder (ADHD) is the most common behavioral disorder. Behavioural intervention in preschool children with ADHD is  considered effective. This study discussed the long-term effectiveness of behavioural intervention in the context of nondrug therapy. METHODS: The study was a prospective, randomised controlled trial in which 201 preschoolers diagnosed with ADHD who were not receiving any treatment were assigned to two groups from January 2018 to May 2019, 101 were assigned to the conventional group and 100 to the behavioural intervention group. The behavioural intervention group included parental training, behavioural therapy, attention training, relief therapy and game therapy, in addition to the conventional group offerings. Children were evaluated at a baseline, at the end of the 12-month intervention and six months after the intervention. The primary and secondary outcome variables included attention time, the impulse-hyperactivity and hyperactivity index from Conners parent symptom questionnaire (PSQ), full-scale attention quotient (FAQ) and full-scale response control quotient (FRCQ) from integrated visual and auditory comprehensive continuous performance tests. The attention time was observed and recorded by parents, and others were performe(PSQ)d by physicians in the clinic. All statistical analyses were conducted using SPSS V26.0 (IBM), including the descriptive statistics and mixed-effects models and so on. RESULTS: The participants' mean age was (66.17+/-9.00) months in the behavioural group and (67.54+/-6.22) months in the conventional group .A total of 190 participants completed a follow-up six months after the intervention. The attention time, Conners parent symptom questionnaire (PSQ), full-scale attention  quotient (FAQ) and full-scale response control quotient (FRCQ) increased significantly over time, and the behavioural group improvements were higher than  those of conventional group. There was a significant main effect of time (pretest/posttest/follow-up) and group on all outcome measures (t =-12.549-4.069, p<0.05), and a significant interaction of time and group on attention time, impulsivity/hyperactivity, FAQ and FRCQ (t =-3.600-3.313, p<0.05). CONCLUSION: Behavioural intervention can effectively improve behaviour management and relieve symptoms in children with ADHD. These effects lasted at least six months. This study provides a promising approach for improving clinical efficacy with preschool children with ADHD.",treatment,0.5545755237045203,1
9,A Virtual Reality Game (The Secret Trail of Moon) for Treating Attention-Deficit/Hyperactivity Disorder: Development and Usability Study.,2021 Sep 1,"Rodrigo-Yanguas M, Martin-Moratinos M, Menendez-Garcia A, Gonzalez-Tardon C, Royuela A, Blasco-Fontecilla H",JMIR serious games,Journal Article,"attention-deficit/hyperactivity disorder, chess, cognitive training, new technologies, psychotherapy, randomized controlled trial, serious video game, transfer, usability, virtual reality",https://doi.org/10.2196/26824,"BACKGROUND: Attention-deficit/hyperactivity disorder (ADHD) affects between 4% and 8% of children worldwide. The treatment of choice is multimodal treatment. Multimodal interventions for ADHD may be improved by incorporating new treatments, such as treatment via serious video games. The Secret Trail of Moon (TSTM) is a virtual reality serious video game that was designed for cognitive training related to core ADHD symptoms and executive dysfunction. OBJECTIVE: We aimed to describe the development and usability of TSTM. METHODS: The usability study included 37 children and adolescents who tested TSTM during the early usability stage (preinclusion) of a randomized controlled clinical trial for testing the effectiveness of TSTM. Chi-square tests were performed to compare patients with ADHD (ADHD combined subtype vs inattentive subtype) and to compare  frequent and infrequent video game players in the second study. We used SPSS version 20 for Macintosh (IBM Corporation). RESULTS: A total of 31/37 (86%) and 30/37 (83%) of participants liked playing TSTM and wanted to continue playing TSTM, respectively. Further, 5/37 (14%) of participants reported that they experienced either perceived dizziness or virtual reality motion sickness. We found no statistically significant differences after comparing the ADHD combined  subtype to the inattentive subtype and frequent video game players to infrequent  video game players. CONCLUSIONS: Serious video games, such as TSTM, may complement the current multimodal approach for treating ADHD. TRIAL REGISTRATION: ClinicalTrials.gov NCT04355065; https://clinicaltrials.gov/ct2/show/NCT04355065.",treatment,0.9570011025358324,1
