Article Title,Topic of interest,Manual Classification
A data-centric artificial intelligent and extended reality technology in smart healthcare systems.,treatment,0
"The effect of neurofeedback training combined with computer cognitive games on the time perception, attention, and working memory in children with ADHD.",treatment,1
Effect of game-based high-intensity interval training program on the executive function of children with ADHD: Protocol of a randomized controlled trial.,treatment,1
Attention Deficit Hyperactivity Disorder Assessment Based on Patient Behavior Exhibited in a Car Video Game: A Pilot Study.,treatment,1
Serious Video Games: Angels or Demons in Patients With Attention-Deficit Hyperactivity Disorder? A Quasi-Systematic Review.,treatment,0
Gender-related differences in involvement of addiction brain networks in internet gaming disorder: Relationships with craving and emotional regulation.,treatment,0
Automated detection of ADHD: Current trends and future perspective.,treatment,0
Effectiveness of using calligraphic activity to treat people with schizophrenia:  a randomized controlled trial in Southern Taiwan.,treatment,0
Enhancing neural markers of attention in children with ADHD using a digital therapeutic.,treatment,0
Screen Use and Mental Health Symptoms in Canadian Children and Youth During the COVID-19 Pandemic.,treatment,0
Long-term effectiveness of behavioural intervention in preschool children with attention deficit hyperactivity disorder in Southeast China - a randomized controlled trial.,treatment,1
Feasibility of a serious game coupled with a contact-based session led by lived experience workers for depression prevention in high-school students.,treatment,0
Exploring parents' experience in the decision-making process for children with haematological diseases receiving haematopoietic stem cell transplantation in China based on genograms.,treatment,0
A Virtual Reality Game (The Secret Trail of Moon) for Treating Attention-Deficit/Hyperactivity Disorder: Development and Usability Study.,treatment,1
Effectiveness of a digital therapeutic as adjunct to treatment with medication in pediatric ADHD.,treatment,1
Child-Robot Interaction in a Musical Dance Game: An Exploratory Comparison Study  between Typically Developing Children and Children with Autism.,treatment,0
"""It Is Not the Robot Who Learns, It Is Me."" Treating Severe Dysgraphia Using Child-Robot Interaction.",treatment,1
Video Games for the Treatment of Autism Spectrum Disorder: A Systematic Review.,treatment,0
Digital health interventions (DHI) for the treatment of attention deficit hyperactivity disorder (ADHD) in children - a comparative review of literature among various treatment and DHI.,treatment,1
A systematic review on the intersection of attention-deficit hyperactivity disorder and gaming disorder.,treatment,0
